season,round,entity_type,canonical_entity_id,name,event_name,approximate_points,recorded_points,difference,absolute_difference
2024,2,constructor,red_bull,Red Bull,Saudi Arabian Grand Prix,73.0,90.0,17.0,17.0
2024,2,constructor,sauber,Kick Sauber,Saudi Arabian Grand Prix,13.0,-4.0,-17.0,17.0
2025,1,constructor,aston_martin,Aston Martin,Australian Grand Prix,18.0,1.0,-17.0,17.0
2025,1,constructor,ferrari,Ferrari,Australian Grand Prix,19.0,36.0,17.0,17.0
2025,4,constructor,red_bull,Red Bull,Bahrain Grand Prix,29.0,46.0,17.0,17.0
2022,1,driver,max_verstappen,Max Verstappen,Bahrain Grand Prix,-11.0,5.0,16.0,16.0
2022,3,driver,albon,Alexander Albon,Australian Grand Prix,21.0,5.0,-16.0,16.0
2022,4,constructor,williams,Williams,Emilia Romagna Grand Prix,33.0,17.0,-16.0,16.0
2023,3,constructor,mclaren,McLaren,Australian Grand Prix,52.0,36.0,-16.0,16.0
2025,3,constructor,ferrari,Ferrari,Japanese Grand Prix,40.0,56.0,16.0,16.0
2022,1,driver,gasly,Pierre Gasly,Bahrain Grand Prix,-19.0,-4.0,15.0,15.0
2022,2,driver,bottas,Valtteri Bottas,Saudi Arabian Grand Prix,-17.0,-2.0,15.0,15.0
2022,3,driver,max_verstappen,Max Verstappen,Australian Grand Prix,-11.0,4.0,15.0,15.0
2022,5,driver,gasly,Pierre Gasly,Miami Grand Prix,-16.0,-1.0,15.0,15.0
2022,5,driver,norris,Lando Norris,Miami Grand Prix,-17.0,-2.0,15.0,15.0
2022,5,driver,vettel,Sebastian Vettel,Miami Grand Prix,-20.0,-5.0,15.0,15.0
2024,3,constructor,haas,Haas,Australian Grand Prix,35.0,20.0,-15.0,15.0
2022,4,driver,norris,Lando Norris,Emilia Romagna Grand Prix,29.0,43.0,14.0,14.0
2022,5,constructor,williams,Williams,Miami Grand Prix,40.0,26.0,-14.0,14.0
2023,1,driver,alonso,Fernando Alonso,Bahrain Grand Prix,25.0,39.0,14.0,14.0
2023,4,constructor,mclaren,McLaren,Azerbaijan Grand Prix,9.0,23.0,14.0,14.0
2023,4,constructor,williams,Williams,Azerbaijan Grand Prix,-1.0,-15.0,-14.0,14.0
2023,4,driver,perez,Sergio Pérez,Azerbaijan Grand Prix,47.0,61.0,14.0,14.0
2024,5,constructor,haas,Haas,Chinese Grand Prix,12.0,26.0,14.0,14.0
2025,1,driver,norris,Lando Norris,Australian Grand Prix,45.0,59.0,14.0,14.0
2022,2,driver,alonso,Fernando Alonso,Saudi Arabian Grand Prix,-16.0,-3.0,13.0,13.0
2022,3,constructor,aston_martin,Aston Martin,Australian Grand Prix,10.0,-3.0,-13.0,13.0
2022,3,driver,sainz,Carlos Sainz,Australian Grand Prix,-18.0,-5.0,13.0,13.0
2022,3,driver,vettel,Sebastian Vettel,Australian Grand Prix,-20.0,-7.0,13.0,13.0
2022,4,driver,bottas,Valtteri Bottas,Emilia Romagna Grand Prix,21.0,34.0,13.0,13.0
2022,4,driver,kevin_magnussen,Kevin Magnussen,Emilia Romagna Grand Prix,5.0,18.0,13.0,13.0
2022,5,constructor,aston_martin,Aston Martin,Miami Grand Prix,-12.0,1.0,13.0,13.0
2023,1,constructor,alpine,Alpine,Bahrain Grand Prix,21.0,8.0,-13.0,13.0
2023,2,constructor,alphatauri,AlphaTauri,Saudi Arabian Grand Prix,28.0,15.0,-13.0,13.0
2024,3,driver,russell,George Russell,Australian Grand Prix,-16.0,-3.0,13.0,13.0
2025,4,driver,antonelli,Andrea Kimi Antonelli,Bahrain Grand Prix,1.0,14.0,13.0,13.0
2022,2,driver,ricciardo,Daniel Ricciardo,Saudi Arabian Grand Prix,-20.0,-8.0,12.0,12.0
2022,4,driver,vettel,Sebastian Vettel,Emilia Romagna Grand Prix,12.0,24.0,12.0,12.0
2022,5,driver,russell,George Russell,Miami Grand Prix,24.0,36.0,12.0,12.0
2023,2,constructor,ferrari,Ferrari,Saudi Arabian Grand Prix,47.0,59.0,12.0,12.0
2023,3,constructor,alphatauri,AlphaTauri,Australian Grand Prix,1.0,13.0,12.0,12.0
2024,1,driver,sainz,Carlos Sainz,Bahrain Grand Prix,24.0,36.0,12.0,12.0
2024,2,driver,bearman,Oliver Bearman,Saudi Arabian Grand Prix,14.0,26.0,12.0,12.0
2025,1,constructor,mclaren,McLaren,Australian Grand Prix,59.0,71.0,12.0,12.0
2025,2,constructor,mercedes,Mercedes,Chinese Grand Prix,57.0,69.0,12.0,12.0
2025,2,driver,antonelli,Andrea Kimi Antonelli,Chinese Grand Prix,17.0,29.0,12.0,12.0
2025,5,constructor,haas,Haas,Saudi Arabian Grand Prix,24.0,12.0,-12.0,12.0
2022,2,driver,latifi,Nicholas Latifi,Saudi Arabian Grand Prix,-20.0,-9.0,11.0,11.0
2022,5,driver,zhou,Guanyu Zhou,Miami Grand Prix,-20.0,-9.0,11.0,11.0
2023,4,constructor,alpine,Alpine,Azerbaijan Grand Prix,14.0,25.0,11.0,11.0
2023,5,driver,max_verstappen,Max Verstappen,Miami Grand Prix,53.0,64.0,11.0,11.0
2024,3,constructor,alpine,Alpine,Australian Grand Prix,17.0,6.0,-11.0,11.0
2024,5,driver,kevin_magnussen,Kevin Magnussen,Chinese Grand Prix,6.0,17.0,11.0,11.0
2024,5,driver,stroll,Lance Stroll,Chinese Grand Prix,-2.0,9.0,11.0,11.0
2025,3,constructor,mclaren,McLaren,Japanese Grand Prix,60.0,71.0,11.0,11.0
2025,4,constructor,mclaren,McLaren,Bahrain Grand Prix,81.0,92.0,11.0,11.0
2025,4,constructor,rb,Racing Bulls,Bahrain Grand Prix,11.0,22.0,11.0,11.0
2025,5,driver,max_verstappen,Max Verstappen,Saudi Arabian Grand Prix,27.0,38.0,11.0,11.0
2022,1,constructor,aston_martin,Aston Martin,Bahrain Grand Prix,24.0,14.0,-10.0,10.0
2022,2,constructor,haas,Haas,Saudi Arabian Grand Prix,1.0,11.0,10.0,10.0
2022,4,driver,leclerc,Charles Leclerc,Emilia Romagna Grand Prix,20.0,30.0,10.0,10.0
2022,4,driver,sainz,Carlos Sainz,Emilia Romagna Grand Prix,-3.0,7.0,10.0,10.0
2023,2,driver,max_verstappen,Max Verstappen,Saudi Arabian Grand Prix,51.0,61.0,10.0,10.0
2023,3,constructor,williams,Williams,Australian Grand Prix,-15.0,-5.0,10.0,10.0
